invoiceId,date,costInBillingCurrency,costInPricingCurrency,costInUsd,paygCostInBillingCurrency,paygCostInUsd
G085681907,03/01/2025,506.13242450979146,506.13242450979146,506.13242450979146,555.8071860483448,555.8071860483448
G085681907,03/02/2025,507.21353434316205,507.21353434316205,507.21353434316205,555.044563817828,555.044563817828
G085681907,03/03/2025,521.2010201110066,521.2010201110066,521.2010201110066,564.4373460978971,564.4373460978971
G085681907,03/04/2025,521.7722382807074,521.7722382807074,521.7722382807074,565.2702523101675,565.2702523101675
G085681907,03/05/2025,522.4272325359154,522.4272325359154,522.4272325359154,566.1946279631748,566.1946279631748
G085681907,03/06/2025,515.3633151135394,515.3633151135394,515.3633151135394,556.8244817249366,556.8244817249366
G085681907,03/07/2025,500.9640825341969,500.9640825341969,500.9640825341969,538.5487605720948,538.5487605720948
G085681907,03/08/2025,492.6921606846593,492.6921606846593,492.6921606846593,529.1426813696652,529.1426813696652
G085681907,03/09/2025,492.37648938623647,492.37648938623647,492.37648938623647,528.8142128778661,528.8142128778661
G085681907,03/10/2025,493.04985742744714,493.04985742744714,493.04985742744714,528.2744957149362,528.2744957149362
G085681907,03/11/2025,473.31434251288954,473.31434251288954,473.31434251288954,505.42450078426316,505.42450078426316
G085681907,03/12/2025,478.47120396040765,478.47120396040765,478.47120396040765,511.2206800911261,511.2206800911261
G085681907,03/13/2025,481.79738078220805,481.79738078220805,481.79738078220805,514.9955945262561,514.9955945262561
G085681907,03/14/2025,502.11272489842634,502.11272489842634,502.11272489842634,539.3630973518376,539.3630973518376
G085681907,03/15/2025,480.45509250199757,480.45509250199757,480.45509250199757,515.6390668389795,515.6390668389795
G085681907,03/16/2025,474.5428102543362,474.5428102543362,474.5428102543362,507.87231839000486,507.87231839000486
G085681907,03/17/2025,484.51871150172315,484.51871150172315,484.51871150172315,518.4538300752904,518.4538300752904
G085681907,03/18/2025,485.3981427096124,485.3981427096124,485.3981427096124,519.6362177428164,519.6362177428164
G085681907,03/19/2025,482.2889812439052,482.2889812439052,482.2889812439052,515.6669301078834,515.6669301078834
G085681907,03/20/2025,481.95443810296365,481.95443810296365,481.95443810296365,515.2980133381936,515.2980133381936
G085681907,03/21/2025,482.4102389766916,482.4102389766916,482.4102389766916,516.1251927773593,516.1251927773593
G085681907,03/22/2025,474.4419994573469,474.4419994573469,474.4419994573469,507.72911906166155,507.72911906166155
G085681907,03/23/2025,471.9649519852025,471.9649519852025,471.9649519852025,504.75798054418095,504.75798054418095
G085681907,03/24/2025,479.67488783078113,479.67488783078113,479.67488783078113,512.7813437022897,512.7813437022897
G085681907,03/25/2025,469.99040516176433,469.99040516176433,469.99040516176433,501.3703403626767,501.3703403626767
G085681907,03/26/2025,463.3092962271403,463.3092962271403,463.3092962271403,494.27157173454,494.27157173454
G085681907,03/27/2025,462.5579440883452,462.5579440883452,462.5579440883452,493.44897424815167,493.44897424815167
G085681907,03/28/2025,462.91552058617316,462.91552058617316,462.91552058617316,495.3501555059315,495.3501555059315
G085681907,03/29/2025,454.5415652672924,454.5415652672924,454.5415652672924,489.1229962503189,489.1229962503189
G085681907,03/30/2025,452.7526691164693,452.7526691164693,452.7526691164693,487.235686612176,487.235686612176
G085681907,03/31/2025,460.45812899019285,460.45812899019285,460.45812899019285,497.0179431362443,497.0179431362443
